depth_metres,twtt_seconds,interval_velocity_time_mean,vint_std,rms_velocity_time_mean,vrms_std
690.0,0.9414500214233131,1466.0,2.0,1457.0,3.0
692.0,0.9441258168022922,1466.0,2.0,1457.0,3.0
694.0,0.9467987391765262,1466.0,2.0,1457.0,3.0
696.0,0.9494728290274731,1466.0,2.0,1457.0,3.0
698.0,0.9521484743840986,1466.0,2.0,1457.0,3.0
700.0,0.9548240764546606,1466.0,2.0,1457.0,3.0
702.0,0.9575017351179268,1466.0,2.0,1457.0,3.0
704.0,0.9601778270143031,1466.0,2.0,1457.0,3.0
706.0,0.9628523093353318,1466.0,2.0,1457.0,3.0
708.0,0.9655238134488006,1466.0,2.0,1457.0,3.0
710.0,0.9681979215345845,1466.0,2.0,1457.0,3.0
712.0,0.9708731446506945,1466.0,2.0,1457.0,3.0
714.0,0.9735500752591411,1466.0,2.0,1457.0,3.0
716.0,0.9762285270675735,1466.0,2.0,1457.0,3.0
718.0,0.9789065309731327,1466.0,2.0,1457.0,3.0
720.0,0.981580279484375,1466.0,2.0,1457.0,3.0
722.0,0.9842577038093743,1466.0,2.0,1457.0,3.0
724.0,0.9869343546378121,1466.0,2.0,1457.0,3.0
726.0,0.9896111229510035,1466.0,2.0,1457.0,3.0
728.0,0.9922835594986475,1466.0,2.0,1457.0,3.0
730.0,0.994954780961575,1466.0,2.0,1457.0,3.0
731.0,0.9976231814978895,1466.0,2.0,1457.0,3.0
733.0,1.0002997725586806,1466.0,2.0,1457.0,3.0
735.0,1.0029664585796263,1467.0,2.0,1457.0,3.0
737.0,1.005640742684374,1467.0,2.0,1457.0,3.0
739.0,1.0083143208671237,1467.0,2.0,1457.0,3.0
741.0,1.0109919396033384,1467.0,2.0,1457.0,3.0
743.0,1.0136718174550114,1467.0,2.0,1457.0,3.0
745.0,1.0163417876143137,1467.0,2.0,1457.0,3.0
747.0,1.0190203247529872,1467.0,2.0,1457.0,3.0
749.0,1.0216949403441005,1467.0,2.0,1457.0,3.0
751.0,1.0243648937314787,1467.0,2.0,1457.0,3.0
753.0,1.027039762779885,1467.0,2.0,1457.0,3.0
755.0,1.0297084633769413,1467.0,2.0,1457.0,3.0
757.0,1.0323831655344617,1467.0,2.0,1457.0,3.0
759.0,1.035059169428012,1467.0,2.0,1457.0,3.0
761.0,1.0377310970081854,1467.0,2.0,1457.0,3.0
763.0,1.0404076575949004,1467.0,2.0,1457.0,3.0
765.0,1.0430759571834014,1467.0,2.0,1457.0,3.0
767.0,1.0457430763625502,1467.0,2.0,1457.0,3.0
769.0,1.0484192064363305,1467.0,2.0,1457.0,3.0
771.0,1.0510899889450682,1467.0,2.0,1457.0,3.0
773.0,1.053763590381074,1467.0,2.0,1457.0,3.0
775.0,1.056438348759594,1467.0,2.0,1457.0,3.0
777.0,1.0591124053422238,1467.0,2.0,1457.0,3.0
779.0,1.0617814322423744,1467.0,2.0,1457.0,3.0
781.0,1.0644523774577124,1467.0,2.0,1457.0,3.0
783.0,1.0671396689666046,1467.0,2.0,1457.0,3.0
785.0,1.0698173191014169,1467.0,2.0,1457.0,3.0
787.0,1.0724926115939601,1467.0,2.0,1457.0,3.0
789.0,1.0751744552548743,1467.0,2.0,1457.0,3.0
791.0,1.0778496273537903,1467.0,2.0,1457.0,3.0
793.0,1.08052379276893,1467.0,2.0,1457.0,3.0
795.0,1.0832028810240322,1467.0,2.0,1457.0,3.0
797.0,1.0858727545368112,1467.0,2.0,1457.0,3.0
799.0,1.0885379162953686,1467.0,2.0,1457.0,3.0
801.0,1.091203169406534,1467.0,2.0,1457.0,3.0
803.0,1.093871889540457,1467.0,2.0,1457.0,3.0
804.0,1.0965409536692943,1467.0,2.0,1457.0,3.0
806.0,1.0992182993171735,1467.0,2.0,1457.0,3.0
808.0,1.1018939216317376,1467.0,2.0,1458.0,3.0
810.0,1.104563071591312,1467.0,2.0,1458.0,3.0
812.0,1.107232954485531,1467.0,2.0,1458.0,3.0
814.0,1.109912560044783,1467.0,2.0,1458.0,3.0
816.0,1.1125733966656695,1467.0,2.0,1458.0,3.0
818.0,1.1152393473066164,1468.0,2.0,1458.0,3.0
820.0,1.1179085367236528,1468.0,2.0,1458.0,3.0
822.0,1.1205756151468507,1468.0,2.0,1458.0,3.0
824.0,1.123241811385977,1468.0,2.0,1458.0,3.0
826.0,1.1259141221398632,1468.0,2.0,1458.0,3.0
828.0,1.1285824017909816,1468.0,2.0,1458.0,3.0
830.0,1.1312623730110978,1468.0,2.0,1458.0,3.0
832.0,1.133929371904168,1468.0,2.0,1458.0,3.0
834.0,1.1365855087831211,1468.0,2.0,1458.0,4.0
836.0,1.1392599740405938,1468.0,2.0,1458.0,4.0
838.0,1.1419319808545867,1468.0,2.0,1458.0,4.0
840.0,1.1446051205184564,1468.0,2.0,1458.0,4.0
842.0,1.1472717193674435,1468.0,2.0,1458.0,4.0
844.0,1.149944900964993,1468.0,2.0,1458.0,4.0
846.0,1.152611641693133,1468.0,2.0,1458.0,4.0
848.0,1.1552749586928646,1468.0,2.0,1458.0,4.0
850.0,1.1579436195209907,1468.0,2.0,1458.0,4.0
852.0,1.1606100158341939,1468.0,2.0,1458.0,4.0
854.0,1.1632763621306996,1468.0,2.0,1458.0,4.0
856.0,1.1659396015927939,1468.0,2.0,1458.0,4.0
858.0,1.1686122092958025,1468.0,2.0,1458.0,4.0
860.0,1.1712775911267366,1468.0,2.0,1458.0,4.0
862.0,1.1739552903649075,1468.0,2.0,1458.0,4.0
864.0,1.1766210063065803,1468.0,2.0,1458.0,4.0
866.0,1.1792803806743646,1468.0,2.0,1458.0,4.0
868.0,1.1819428370961949,1468.0,2.0,1458.0,4.0
870.0,1.184609210815126,1468.0,2.0,1458.0,4.0
872.0,1.187280583829843,1468.0,2.0,1458.0,4.0
874.0,1.1899530912574952,1468.0,2.0,1458.0,4.0
876.0,1.1926172525238525,1468.0,2.0,1458.0,4.0
877.0,1.1952815975485669,1468.0,2.0,1458.0,4.0
879.0,1.1979460727069189,1468.0,2.0,1458.0,4.0
